longitude,latitude,population,median_income,ocean_proximity
-117.21,33.34,2312,5.4563,<1H OCEAN
-120.68,37.47,658,2.3043,INLAND
-122.83,38.96,567,1.8692,INLAND
-122.22,37.37,322,5.1831,NEAR OCEAN
-116.87,32.75,993,5.5164,<1H OCEAN
-118.39,33.79,1582,10.898,NEAR OCEAN
-117.13,32.74,1457,2.6604,NEAR OCEAN
-122.45,37.74,2263,6.203,NEAR BAY
-122.47,38.29,1277,2.5658,NEAR BAY
-122.54,37.95,971,5.697,NEAR BAY
-123.1,38.79,1643,2.8344,<1H OCEAN
-117.07,32.56,3293,3.0992,NEAR OCEAN
-118.43,34.08,238,15.0001,<1H OCEAN
-122.05,36.97,1603,4.2542,NEAR OCEAN
-122.25,37.49,1225,4.224,NEAR OCEAN
-117.87,34.14,1139,2.9375,INLAND
-118.2,34.05,2490,2.02,<1H OCEAN
-121.32,37.94,64,2.625,INLAND
-120.96,38.66,1062,3.9036,INLAND
-120.43,34.96,1171,4.8155,<1H OCEAN
-122.28,37.9,658,10.0825,NEAR BAY
-122,37.08,2149,5.5919,NEAR OCEAN
-118.34,33.87,601,4.6406,<1H OCEAN
-118.52,34.21,823,4.5648,<1H OCEAN
-118.22,34.09,1941,2.5213,<1H OCEAN
-118.27,34.1,1082,6.4459,<1H OCEAN
-117.58,34.02,3182,5.2692,INLAND
-118.22,34.08,573,1.8173,<1H OCEAN
-121.78,36.93,2236,2.4053,<1H OCEAN
-117.36,33.18,833,2.8893,NEAR OCEAN
-119.01,35.36,1277,1.056,INLAND
-117.81,34.11,1866,3.6201,INLAND
-118.1,34.02,508,4.9107,<1H OCEAN
-117.03,32.96,1940,4.121,<1H OCEAN
-122.23,39.75,1031,1.9375,INLAND
-121.96,37.1,361,6.3617,<1H OCEAN
-121.06,39.04,585,5.5161,INLAND
-118.1,34.09,1434,3.8906,<1H OCEAN
-118.32,33.95,1040,5.0912,<1H OCEAN
-122.21,37.44,486,4.6908,NEAR OCEAN
-118.19,34.1,1205,4.239,<1H OCEAN
-122.38,40.09,1155,3.1361,INLAND
-117.3,33.06,1049,4.027,NEAR OCEAN
-122.13,37.71,609,3.5781,NEAR BAY
-118.29,33.98,1348,1.9125,<1H OCEAN
-121.53,39.52,448,2.4821,INLAND
-120.47,34.65,1486,4.2875,NEAR OCEAN
-118.3,34,1026,2,<1H OCEAN
-118.22,33.8,1764,3.875,NEAR OCEAN
-118.27,33.97,2601,2.0754,<1H OCEAN
-118.34,34.06,707,3.4812,<1H OCEAN
-119.21,34.18,2986,3.9718,NEAR OCEAN
-117.83,33.81,2828,2.8403,<1H OCEAN
-118.85,34.18,3089,3.5504,<1H OCEAN
-118.37,36.19,48,3.125,INLAND
-121.85,37.39,4784,5.8322,<1H OCEAN
-118.37,33.85,2537,5.785,<1H OCEAN
-118.96,35.37,874,1.9612,INLAND
-120.64,35.65,2356,2.9926,<1H OCEAN
-118.41,34.19,450,3.9792,<1H OCEAN
-122.53,37.95,2980,3.5838,NEAR BAY
-117.33,34.15,1196,1.6993,INLAND
-117.23,33.57,5860,3.9617,<1H OCEAN
-120.44,37.28,1658,2.3929,INLAND
-117.2,33.7,1984,2.3276,<1H OCEAN
-121.34,38.64,1335,3.8068,INLAND
-117.28,34.12,2378,1.3571,INLAND
-119.48,36.5,1968,2.9554,INLAND
-122.04,37.04,1987,3.8854,NEAR OCEAN
-118.45,34.03,931,3.7813,<1H OCEAN
-117.47,33.92,2500,3.6583,INLAND
-121.94,37.75,2464,6.6204,<1H OCEAN
-117.28,34.51,2845,3.0181,INLAND
-120.95,35.44,1769,2.6864,NEAR OCEAN
-117.9,33.97,4014,5.4155,<1H OCEAN
-120.77,38.38,1737,2.3125,INLAND
-116.93,32.8,1219,2.0685,<1H OCEAN
-118.13,33.81,928,5.395,<1H OCEAN
-117.4,33.95,866,3.1384,INLAND
-122.07,37.96,836,5.0172,NEAR BAY
-123.71,39.88,656,1.4952,NEAR OCEAN
-122.72,38.58,2936,5.0555,<1H OCEAN
-117.77,33.72,954,7.8139,<1H OCEAN
-117.93,34.07,819,3.3977,<1H OCEAN
-118.41,34.07,408,15.0001,<1H OCEAN
-120.07,36.97,1564,1.5662,INLAND
-119.27,36.05,481,2.2917,INLAND
-120.82,37.05,775,1.933,INLAND
-121.43,38.54,1346,2.4618,INLAND
-120.44,34.96,1290,3.4722,<1H OCEAN
-120.35,37.95,960,2.4,INLAND
-118.17,33.95,1380,1.9107,<1H OCEAN
-121.57,39.5,1073,1.5714,INLAND
-117.82,33.88,1027,7.0526,<1H OCEAN
-121.9,37.44,853,5.0821,<1H OCEAN
-121.45,38.54,1052,1.7891,INLAND
-119.81,36.83,2325,4.049,INLAND
-118.36,33.8,966,10.1241,NEAR OCEAN
-117.68,33.59,899,14.9009,<1H OCEAN
-118.04,33.88,3059,5.7619,<1H OCEAN
-118.43,34.01,746,6.4232,<1H OCEAN
-122.71,38.5,2324,6.6104,<1H OCEAN
-121.83,36.6,1491,4.3472,<1H OCEAN
-120.82,35.31,1325,2.5172,NEAR OCEAN
-120.06,36.95,454,2.125,INLAND
-122.14,37.68,1561,2.7955,NEAR BAY
-116.46,33.78,604,1.3801,INLAND
-121.09,38.19,358,2.4545,INLAND
-121.32,38.57,1733,5.31,INLAND
-120.99,37.66,914,1.933,INLAND
-122.22,37.79,1608,2.1494,NEAR BAY
-122.47,37.78,1220,3.1989,NEAR BAY
-117.91,33.61,952,4.8,<1H OCEAN
-121.53,39.06,308,3.3021,INLAND
-117.04,32.83,777,6.0266,<1H OCEAN
-118.13,34.11,1102,9.1373,<1H OCEAN
-122.32,38.06,3596,5.0969,NEAR BAY
-121.73,37.68,8768,5.4496,INLAND
-118.98,35.4,1052,3.4205,INLAND
-121.9,37.25,1389,5.7385,<1H OCEAN
-121.3,38.69,779,3.6995,INLAND
-115.64,32.75,198,1.625,INLAND
-117.89,33.76,723,4.8,<1H OCEAN
-118.36,33.92,793,4.1023,<1H OCEAN
-117.06,32.58,2098,3.5125,NEAR OCEAN
-115.49,32.67,2185,1.375,INLAND
-117.31,34.09,1009,1.608,INLAND
-121.03,39.21,1310,3.2337,INLAND
-117.05,32.72,1158,3.4107,NEAR OCEAN
-117.95,33.92,1590,3.6106,<1H OCEAN
-119.01,35.31,4101,2.1006,INLAND
-119.17,34.27,3982,4.0905,NEAR OCEAN
-118.07,34.14,1668,3.375,INLAND
-122.23,38.1,2240,2.4201,NEAR BAY
-117.75,34.06,44,0.4999,INLAND
-118.27,33.81,811,3.8621,<1H OCEAN
-121.32,38,1114,2.0091,INLAND
-118.99,36.06,1317,1.7564,INLAND
-122.37,40.54,1096,3.6923,INLAND
-120.39,37.98,584,2.1513,INLAND
-118.33,34.11,784,3.0642,<1H OCEAN
-118.08,33.89,981,3.2857,<1H OCEAN
-117.25,33.36,2833,2.3214,<1H OCEAN
-119.15,36.29,657,2.4281,INLAND
-117.63,33.94,2886,4.2578,INLAND
-118.55,34.19,3161,3.1106,<1H OCEAN
-117.89,33.71,926,6.2452,<1H OCEAN
-117.69,33.66,1933,6.9501,<1H OCEAN
-118.35,33.88,1150,3.35,<1H OCEAN
-118.09,34.16,942,5.0393,INLAND
-121.05,39.11,1143,3.6333,INLAND
-118.21,34.1,795,5.2723,<1H OCEAN
-119.04,36.07,1912,1.5893,INLAND
-117.3,34.15,608,4.3438,INLAND
-117.75,34.06,502,2.0156,INLAND
-114.61,33.62,1115,2.1759,INLAND
-117.61,34.13,4308,4.4611,INLAND
-118.11,34.05,1729,5.9941,<1H OCEAN
-118.95,35.26,667,4,INLAND
-118.35,33.9,2299,3.0417,<1H OCEAN
-122.89,38.93,504,2.7188,<1H OCEAN
-121.89,36.6,337,2.7917,<1H OCEAN
-118.31,34.26,948,4.1339,<1H OCEAN
-122.01,37.25,551,10.2311,<1H OCEAN
-118.37,34.04,514,3.1827,<1H OCEAN
-117.19,32.76,434,5.7914,NEAR OCEAN
-119.71,36.8,1259,3.9338,INLAND
-117.28,34.68,1156,1.8958,INLAND
-120.84,35.32,1279,3.4762,NEAR OCEAN
-118.13,34.02,261,2.9044,<1H OCEAN
-117.02,33.6,964,3.244,INLAND
-116.97,32.76,1348,6.1768,<1H OCEAN
-117.71,33.61,888,2.6848,<1H OCEAN
-121.58,39.79,1184,2.7863,INLAND
-118.24,34.15,3171,2.5924,<1H OCEAN
-122.68,38.44,1346,2.9107,<1H OCEAN
-118.14,33.84,876,3.2024,<1H OCEAN
-117.88,34.1,1696,4.2685,<1H OCEAN
-117.67,33.44,903,6.6852,<1H OCEAN
-120.47,34.64,1009,3.4063,NEAR OCEAN
-122.22,37.47,4124,3.3268,NEAR OCEAN
-122.25,37.86,719,5.0463,NEAR BAY
-118.11,34.06,1700,2.5488,<1H OCEAN
-122.2,39.52,1181,2.0625,INLAND
-119.9,36.58,1319,2.4814,INLAND
-118.26,33.79,1044,3.5488,<1H OCEAN
-122.51,37.53,672,7.2929,NEAR OCEAN
-118.37,33.93,255,4.4474,<1H OCEAN
-118.31,33.99,1363,1.6559,<1H OCEAN
-117.94,33.65,1015,5.2732,<1H OCEAN
-118.46,34,493,3.6458,<1H OCEAN
-122.33,37.95,777,4.0927,NEAR BAY
-117.67,34.05,1717,3.2062,INLAND
-118.05,33.94,527,1.9453,<1H OCEAN
-118.27,33.89,1349,4.4659,<1H OCEAN
-117.16,33.57,7132,3.9443,<1H OCEAN
-118.46,34.03,1042,2.75,<1H OCEAN
-122.44,37.77,2023,4.4085,NEAR BAY
-122.03,37.6,1488,4.5721,NEAR BAY
-117.96,34.71,1733,3.46,INLAND
-117.83,34.01,4911,5.0111,<1H OCEAN
-118.62,34.2,1120,5.0309,<1H OCEAN
-121.45,38.62,1147,2.5643,INLAND
-122.48,37.71,1571,5.1149,NEAR OCEAN
-123.22,39.15,639,3.3667,<1H OCEAN
-122.11,37.39,655,6.3967,NEAR BAY
-117.71,33.47,830,5.5507,<1H OCEAN
-118.07,33.87,1945,5.7652,<1H OCEAN
-122.11,37.66,2332,3.2091,NEAR BAY
-117.93,34.04,905,4.8854,<1H OCEAN
-122.03,37.39,1994,4.0223,<1H OCEAN
-118.35,33.9,956,3.4698,<1H OCEAN
-117.13,32.72,1780,1.8299,NEAR OCEAN
-121.66,36.82,1895,5.0092,<1H OCEAN
-118.13,34.05,1879,3.9531,<1H OCEAN
-118.28,34.05,2931,1.4413,<1H OCEAN
-118.17,34.1,1922,8.058,<1H OCEAN
-121.33,37.97,999,2.0043,INLAND
-117.23,32.74,798,4.8167,NEAR OCEAN
-121.29,38.6,600,4.0938,INLAND
-117.95,34.04,982,4.7679,<1H OCEAN
-121.83,36.61,2563,3.4531,<1H OCEAN
-119.21,34.26,1313,4.9079,NEAR OCEAN
-118.29,33.91,1028,2.3043,<1H OCEAN
-118.74,34.26,1798,4.8717,<1H OCEAN
-118.2,33.96,1760,2.3221,<1H OCEAN
-117.93,33.65,1198,3.5179,<1H OCEAN
-124.09,40.88,1052,1.5326,NEAR OCEAN
-121.39,38.56,3517,4.3644,INLAND
-117.33,34.13,1214,2.2449,INLAND
-118.75,34.33,243,8.2787,<1H OCEAN
-118.1,33.93,707,4.375,<1H OCEAN
-118.49,34.25,960,4.3333,<1H OCEAN
-117.69,34.06,649,2.7986,INLAND
-117.06,32.57,1429,1.3362,NEAR OCEAN
-118.46,34.29,3151,3.0526,<1H OCEAN
-121.74,38.55,3717,1.7311,INLAND
-116.89,33.73,937,5.3623,INLAND
-121.89,37.25,1007,4.7069,<1H OCEAN
-122.15,37.72,739,2.9097,NEAR BAY
-119.29,34.26,1344,3.6007,NEAR OCEAN
-118.19,33.89,3702,2.9293,<1H OCEAN
-117.66,34.06,2174,2.2244,INLAND
-118.06,33.8,937,3.6217,<1H OCEAN
-118,33.95,505,6.8109,<1H OCEAN
-117.95,33.84,1961,3.65,<1H OCEAN
-117.88,33.9,1413,6.5945,<1H OCEAN
-118.12,34.11,785,5.2131,<1H OCEAN
-120.99,37.69,1060,6.4788,INLAND
-118.37,33.91,1334,3.9355,<1H OCEAN
-121.74,36.47,970,4.25,<1H OCEAN
-122.19,37.48,5380,4.1776,NEAR BAY
-116.95,32.78,1489,6.2552,<1H OCEAN
-117.8,33.76,1017,6.9014,<1H OCEAN
-115.54,32.79,1370,1.275,INLAND
-118.43,34.17,1130,5.451,<1H OCEAN
-120.69,35.49,1203,4.1375,<1H OCEAN
-118.32,33.94,1468,4.5368,<1H OCEAN
-121.18,37.96,193,2.5625,INLAND
-121.33,37.96,906,2.5488,INLAND
-119.95,36.96,1327,2.6087,INLAND
-118.47,34,574,3.1304,<1H OCEAN
-124.09,40.88,1353,2.4321,NEAR OCEAN
-117.19,33.64,757,3.235,<1H OCEAN
-120.64,40.41,987,1.5066,INLAND
-119.72,34.42,980,4.0125,NEAR OCEAN
-115.49,32.69,1691,1.899,INLAND
-118.1,34.11,1317,6.706,<1H OCEAN
-122.82,38.39,752,4.7422,<1H OCEAN
-118.34,34.12,1237,4.2415,<1H OCEAN
-118.29,34,1165,2.1354,<1H OCEAN
-121.44,38.73,727,4.7396,INLAND
-117.22,32.83,1924,5.4605,NEAR OCEAN
-122.63,38.26,3551,4.6069,<1H OCEAN
-118.17,34.18,828,4.375,<1H OCEAN
-124.17,40.79,1169,1.9688,NEAR OCEAN
-118.37,34.15,1071,3.3669,<1H OCEAN
-118.93,34.82,323,3.5,INLAND
-122.24,37.47,1148,4.5556,NEAR OCEAN
-122.26,37.85,697,2.125,NEAR BAY
-118.04,33.99,1613,3.2359,<1H OCEAN
-117.92,33.92,1272,5.1952,<1H OCEAN
-116.51,33.89,537,1.95,INLAND
-117.94,33.84,2166,3.1884,<1H OCEAN
-122.07,38.24,4390,3.5464,INLAND
-118.25,33.93,526,2.5,<1H OCEAN
-118.86,34.22,886,5.0855,<1H OCEAN
-121.47,38.72,911,4.0227,INLAND
-118.2,33.92,477,3.6719,<1H OCEAN
-122.13,37.7,2162,2.6321,NEAR BAY
-122.01,37.27,1415,10.675,<1H OCEAN
-124.08,40.94,941,2.3147,NEAR OCEAN
-118.31,34.26,1005,3.8,<1H OCEAN
-117.29,33.2,1428,2.4754,NEAR OCEAN
-117.72,33.54,1909,4.9821,<1H OCEAN
-118.46,34.25,1135,4.2143,<1H OCEAN
-120.73,39.63,432,3.8826,INLAND
-122.54,38.36,1167,3.7969,<1H OCEAN
-122.91,39.17,142,4.35,INLAND
-117.27,34.16,1151,6.2236,INLAND
-118.23,33.93,487,1.3,<1H OCEAN
-117.34,34.13,341,0.7069,INLAND
-118.13,33.79,1132,4.6133,NEAR OCEAN
-120.47,34.63,1392,3.7917,NEAR OCEAN
-119.32,36.2,772,2.2262,INLAND
-118.4,34.03,491,3.2222,<1H OCEAN
-122.99,39.02,851,3.45,<1H OCEAN
-117.99,33.72,1338,3.628,<1H OCEAN
-117.13,32.76,1191,2.1094,NEAR OCEAN
-117.23,34.51,2158,5.5875,INLAND
-122.44,37.75,801,4.2708,NEAR BAY
-121.02,37.68,1608,3.5489,INLAND
-117.97,33.71,1337,5.3737,<1H OCEAN
-119.3,34.42,2860,3.5822,NEAR OCEAN
-117.87,33.84,1584,5.3812,<1H OCEAN
-122.4,37.71,1183,3.3625,NEAR BAY
-120.98,37.66,984,4.5208,INLAND
-117.61,34.34,1301,4.8623,INLAND
-121.81,37.99,1315,4.8194,INLAND
-122.67,38.44,1165,4.3587,<1H OCEAN
-118.3,34.07,2274,3.425,<1H OCEAN
-119.71,36.81,1034,1.6618,INLAND
-121.88,37.34,1018,2.4196,<1H OCEAN
-116.93,32.81,1573,2.6429,<1H OCEAN
-121.01,37.33,1054,1.6214,INLAND
-123.2,39.13,1065,1.375,<1H OCEAN
-116.87,32.72,1431,5.7652,<1H OCEAN
-122.48,37.51,761,4.7578,NEAR OCEAN
-118.44,34.25,1481,3.7,<1H OCEAN
-120.33,34.87,1093,3.9375,<1H OCEAN
-118.34,33.91,2691,2.4741,<1H OCEAN
-118.68,34.08,55,3.9934,NEAR OCEAN
-118.46,34.05,1719,3.7721,<1H OCEAN
-116.95,33.76,3141,1.7079,INLAND
-121.22,37.79,712,1.7228,INLAND
-118.15,34.04,457,3.6875,<1H OCEAN
-117.7,33.6,634,2.3774,<1H OCEAN
-118.1,34.16,1412,5.3272,INLAND
-121.48,38.61,1062,2.3438,INLAND
-121.7,37.93,1779,4.6587,INLAND
-122.28,37.82,1074,1.2171,NEAR BAY
-121.8,38,1316,3.5368,INLAND
-121.92,37.25,1826,4.9662,<1H OCEAN
-122.41,37.79,4518,1.724,NEAR BAY
-121.58,37.03,2383,3.5551,INLAND
-118.35,34.07,3359,3.3594,<1H OCEAN
-122.53,37.5,2199,6.1896,NEAR OCEAN
-117.64,34.09,1822,3.05,INLAND
-118.3,34.06,3906,2.0332,<1H OCEAN
-117.09,32.71,2061,2.5559,NEAR OCEAN
-117.9,33.63,832,7.1148,<1H OCEAN
-122.45,37.72,890,4.3036,NEAR BAY
-118.52,34.21,762,5.1265,<1H OCEAN
-121.02,37.62,1878,2.5363,INLAND
-118.29,34.03,1085,2.135,<1H OCEAN
-121.16,41.78,1182,2.1434,INLAND
-118.13,33.93,1222,2.6862,<1H OCEAN
-117.92,33.94,2045,5.583,<1H OCEAN
-121.03,37.68,2016,2.6567,INLAND
-118.42,34.01,997,2.9213,<1H OCEAN
-117.27,33.06,1612,3.197,NEAR OCEAN
-121.64,36.68,6012,2.3463,<1H OCEAN
-119.65,36.37,1478,3.5486,INLAND
-117.31,34.51,1611,2.0243,INLAND
-117.99,33.66,951,3.0625,<1H OCEAN
-118.09,33.92,1157,3.5455,<1H OCEAN
-121.02,36.24,1971,2.6801,<1H OCEAN
-118.07,33.9,776,3.8672,<1H OCEAN
-122.27,37.84,1015,1.725,NEAR BAY
-122.25,37.5,154,4.7708,NEAR OCEAN
-118.42,34.15,736,5.2853,<1H OCEAN
-121.08,37.69,3559,3.2246,INLAND
-122.32,40.57,1374,3.3816,INLAND
-122.45,37.69,884,3.0625,NEAR OCEAN
-122.68,38.4,1767,3.1047,<1H OCEAN
-118.25,34.12,1584,2.8889,<1H OCEAN
-120.46,34.64,504,2.0161,NEAR OCEAN
-118.28,34.02,1510,2.1382,<1H OCEAN
-117.34,33.16,610,2.25,NEAR OCEAN
-120.97,37.84,1231,2.883,INLAND
-117.25,32.79,651,2.375,NEAR OCEAN
-121.64,36.72,2900,4.1742,<1H OCEAN
-118.47,34.25,1330,4.5417,<1H OCEAN
-117.14,32.72,660,2.0529,NEAR OCEAN
-118.15,34.02,2386,2.8239,<1H OCEAN
-117.29,33.13,224,3.9205,NEAR OCEAN
-117.96,33.78,658,4.875,<1H OCEAN
-122.81,38.08,815,3.4609,NEAR OCEAN
-117.78,33.85,1665,7.2554,<1H OCEAN
-117.89,34.1,1456,3.125,<1H OCEAN
-122.16,37.74,567,3.4844,NEAR BAY
-122.12,37.16,752,5.1664,NEAR OCEAN
-118.09,33.98,1068,3.1607,<1H OCEAN
-118.18,33.98,2237,2.3444,<1H OCEAN
-117.91,34.06,1382,5.112,<1H OCEAN
-117.68,34.15,486,4.1719,INLAND
-118.3,34.05,1987,2.096,<1H OCEAN
-121.88,37.43,2762,3.3884,<1H OCEAN
-122.48,37.76,1594,4.4094,NEAR BAY
-119.8,36.72,1171,1.0481,INLAND
-123.22,39.16,3595,2.631,<1H OCEAN
-119.17,34.17,1146,3.6597,NEAR OCEAN
-120.32,38.71,86,3.5667,INLAND
-119.64,36.56,363,2.0658,INLAND
-117.84,35.54,765,5.0762,INLAND
-122.1,38.24,3193,5.3102,NEAR BAY
-122.27,37.32,1346,5.3951,NEAR OCEAN
-118.1,33.89,602,3.5865,<1H OCEAN
-117.02,32.75,1345,5.2835,<1H OCEAN
-117.32,34.12,2055,2.3508,INLAND
-121.42,38.62,462,2.0224,INLAND
-118.15,34.11,1314,3.5875,<1H OCEAN
-118.14,33.91,1087,3.0465,<1H OCEAN
-122.37,37.58,967,4.7404,NEAR OCEAN
-117.13,32.9,1798,3.7156,<1H OCEAN
-120.25,37.11,1285,1.5319,INLAND
-117.27,32.85,608,4.425,NEAR OCEAN
-118.32,34.19,485,4.1731,<1H OCEAN
-118.3,33.78,1172,4.6207,<1H OCEAN
-121.2,38.73,1931,7.7499,INLAND
-121.9,36.61,1574,2.9309,NEAR OCEAN
-117.14,32.92,1936,4.9706,<1H OCEAN
-118.36,34.16,989,4.0764,<1H OCEAN
-117.89,33.92,1381,5.4617,<1H OCEAN
-121.48,38.56,877,2.0833,INLAND
-119.05,35.36,2261,3.3261,INLAND
-120.85,37.49,310,1.4063,INLAND
-118.34,34.08,688,15.0001,<1H OCEAN
-118.1,34.13,693,9.7912,<1H OCEAN
-117.22,33.19,1948,2.7019,<1H OCEAN
-118.46,34.26,738,5.0947,<1H OCEAN
-118.36,33.8,1042,6.9742,NEAR OCEAN
-117.08,32.78,984,4.625,NEAR OCEAN
-116.44,34.12,2250,1.5823,INLAND
-117.68,33.51,959,6.2661,<1H OCEAN
-118.45,34.04,1837,3.0173,<1H OCEAN
-119.34,35.6,1732,1.9362,INLAND
-121.86,37.42,2695,6.6227,<1H OCEAN
-119.98,38.93,534,2.6607,INLAND
-121.83,39.74,1290,2.575,INLAND
-118.31,33.96,1266,1.747,<1H OCEAN
-119.84,36.79,1820,3.3447,INLAND
-117.93,33.66,702,9.6062,<1H OCEAN
-119.81,36.78,633,2.0324,INLAND
-121.31,38.97,726,2.7083,INLAND
-122.13,37.74,1476,5,NEAR BAY
-120.2,34.63,1487,4.4519,NEAR OCEAN
-117.12,32.75,850,2.3261,NEAR OCEAN
-121.2,38.28,999,3.9808,INLAND
-118.46,34.18,2038,3.0877,<1H OCEAN
-117.77,33.84,1913,6.7274,<1H OCEAN
-117.06,33.02,994,5.8966,<1H OCEAN
-118.1,34.05,2975,3.756,<1H OCEAN
-117.95,33.8,905,4.6389,<1H OCEAN
-118.21,33.81,764,3.3214,NEAR OCEAN
-122.26,37.85,1212,1.9167,NEAR BAY
-118.05,34.02,25,2.125,<1H OCEAN
-118.52,34.18,1047,3.6534,<1H OCEAN
-120.74,39.39,152,1.3523,INLAND
-118.13,33.91,910,4.4948,<1H OCEAN
-124.1,40.88,1581,2.0657,NEAR OCEAN
-116.52,33.85,3189,3.4886,INLAND
-121.96,38.36,1772,2.7434,INLAND
-122.27,37.84,853,2.1806,NEAR BAY
-121.49,39.49,1174,2.9965,INLAND
-121.3,37.94,412,1.3417,INLAND
-117.62,33.42,998,4.0294,NEAR OCEAN
-119.63,36.6,1102,1.9676,INLAND
-118.31,33.99,982,2.0915,<1H OCEAN
-116.99,32.74,1952,3.9844,<1H OCEAN
-117.05,33.13,5370,2.3762,<1H OCEAN
-117.98,33.75,783,3.3438,<1H OCEAN
-118.35,33.8,672,4.875,<1H OCEAN
-122.02,37.38,836,4.0911,<1H OCEAN
-117.09,32.79,861,3.8333,NEAR OCEAN
-117.98,33.95,1758,6.1898,<1H OCEAN
-119.73,34.43,1383,4.5278,NEAR OCEAN
-121.44,38.49,2083,3.3878,INLAND
-118.2,33.87,757,2.525,<1H OCEAN
-118.14,33.76,1080,3.901,NEAR OCEAN
-122.34,41.06,631,1.8816,INLAND
-116.89,32.85,1757,5.1185,<1H OCEAN
-117.97,33.68,1930,5.7301,<1H OCEAN
-122.1,37.36,498,9.3586,NEAR BAY
-123.25,38.54,1278,3.3536,NEAR OCEAN
-116.94,32.75,6945,5.1221,<1H OCEAN
-117.71,33.63,1357,4.5909,<1H OCEAN
-117.97,33.82,2442,3.7655,<1H OCEAN
-122.18,37.77,1173,3.2552,NEAR BAY
-118.06,33.86,3045,5.0778,<1H OCEAN
-120.46,37.33,368,6.3215,INLAND
-122.27,37.98,1375,6.0289,NEAR BAY
-118.15,34.59,1067,3.7344,INLAND
-122.14,37.41,949,6.4588,NEAR BAY
-122.19,37.77,900,1.8039,NEAR BAY
-118.27,34.1,1364,5.7778,<1H OCEAN
-119.69,36.46,914,2.8125,INLAND
-118.5,34.26,1340,4.8316,<1H OCEAN
-121.83,37.28,2030,5.2166,<1H OCEAN
-121.52,39.12,29,4.125,INLAND
-122.41,37.63,878,4.2262,NEAR OCEAN
-120.88,38.58,1703,4.0827,INLAND
-118.25,34.14,552,1.8235,<1H OCEAN
-122.28,37.75,583,3.1972,NEAR BAY
-116.52,32.9,1754,4.57,INLAND
-117.91,33.78,2223,4.0362,<1H OCEAN
-118.37,34.09,257,5.5224,<1H OCEAN
-118.23,34.1,2121,2.2788,<1H OCEAN
-122.41,37.79,1504,3.2059,NEAR BAY
-122.08,37.3,1197,7.0813,<1H OCEAN
-121.3,38.13,470,2.8942,INLAND
-119.63,36.58,1127,1.2647,INLAND
-120.61,35.1,1896,2.4003,<1H OCEAN
-117.13,33.89,275,3.5781,INLAND
-119.79,36.72,1369,1.25,INLAND
-118.21,34.18,1113,12.1579,<1H OCEAN
-120.93,37.67,2075,3.3844,INLAND
-120,36.7,1168,2.6852,INLAND
-122.44,37.8,1310,3.4801,NEAR BAY
-118.35,33.97,1130,3.2708,<1H OCEAN
-119.33,36.89,755,2,INLAND
-117.95,33.92,1594,4.3426,<1H OCEAN
-118.35,33.89,1371,3.0833,<1H OCEAN
-122.42,37.75,1227,3.5536,NEAR BAY
-121.96,37.71,3386,7.2494,<1H OCEAN
-121.06,37.67,383,3.4167,INLAND
-118.05,34.11,1779,5.1509,INLAND
