longitude,latitude,population,median_income,ocean_proximity,land_value
-124.21,41.77,1947.0,2.5795,NEAR OCEAN,84816.0
-123.72,41.09,1166.0,1.8208,<1H OCEAN,62000.0
-118.14,34.2,1282.0,5.0953,INLAND,257176.0
-119.05,36.09,1749.0,4.0217,INLAND,123008.0
-118.09,34.15,268.0,3.5568,INLAND,254200.0
-118.36,34.16,822.0,5.1423,<1H OCEAN,400396.0
-118.57,34.17,870.0,3.1875,<1H OCEAN,620001.24
-120.86,37.76,623.0,3.0917,INLAND,110236.0
-121.19,39.55,481.0,1.4896,INLAND,103292.0
-118.31,34.06,1639.0,1.9949,<1H OCEAN,471200.0
-117.06,33.09,3516.0,4.0484,<1H OCEAN,325500.0
-122.25,37.8,1715.0,2.9345,NEAR BAY,279000.0
-116.17,33.66,664.0,1.9306,INLAND,58900.0
-117.04,34.0,1594.0,2.4167,INLAND,130076.0
-119.34,36.62,1148.0,2.6058,INLAND,114328.0
-119.76,36.74,1194.0,1.3029,INLAND,85684.0
-120.43,34.7,1420.0,3.87,NEAR OCEAN,155992.0
-122.49,37.98,460.0,6.4271,NEAR BAY,560108.0
-118.24,33.97,1403.0,2.5536,<1H OCEAN,145328.0
-121.63,40.92,872.0,2.2337,INLAND,79980.0
-122.36,37.93,885.0,3.05,NEAR BAY,150784.0
-118.33,33.98,2153.0,1.8472,<1H OCEAN,184884.0
-118.17,34.06,2862.0,2.1845,<1H OCEAN,153512.0
-117.35,33.95,557.0,7.6632,INLAND,253952.0
-122.07,37.95,1025.0,4.5893,NEAR BAY,235600.0
-121.79,37.33,2381.0,5.6345,<1H OCEAN,286440.0
-121.83,36.61,1644.0,3.2545,<1H OCEAN,162688.0
-122.07,37.86,263.0,3.12,NEAR BAY,192200.0
-122.26,37.52,291.0,3.0833,NEAR OCEAN,317812.0
-118.19,34.04,1194.0,2.1806,<1H OCEAN,167276.0
-119.81,34.44,662.0,3.2115,NEAR OCEAN,255812.0
-118.09,33.96,719.0,3.425,<1H OCEAN,202368.0
-122.08,37.64,4065.0,3.3479,NEAR BAY,225804.0
-121.58,39.83,1904.0,2.2419,INLAND,115568.0
-122.79,39.09,685.0,1.625,INLAND,82832.0
-118.2,33.88,1188.0,4.2083,<1H OCEAN,182652.0
-117.95,33.82,514.0,4.0735,<1H OCEAN,258788.0
-122.12,37.29,212.0,8.6196,<1H OCEAN,620001.24
-117.11,32.68,58.0,1.9107,NEAR OCEAN,155000.0
-118.32,34.16,403.0,6.2547,<1H OCEAN,454708.0
-117.97,34.08,1961.0,3.3261,INLAND,203484.0
-117.96,34.07,1508.0,4.6118,<1H OCEAN,237708.0
-117.29,33.08,1463.0,5.7787,NEAR OCEAN,429908.0
-122.08,37.24,182.0,11.3283,<1H OCEAN,620001.24
-119.73,36.62,1026.0,3.5781,INLAND,115072.0
-118.55,34.03,3646.0,6.0307,<1H OCEAN,620001.24
-122.43,37.79,1152.0,4.2042,NEAR BAY,620001.24
-121.3,38.13,1298.0,3.2303,INLAND,163432.0
-121.67,39.14,1056.0,3.6111,INLAND,139252.0
-117.24,32.71,1277.0,6.6661,NEAR OCEAN,620001.24
-118.0,33.88,2276.0,2.735,<1H OCEAN,211792.0
-119.48,35.17,39.0,3.125,INLAND,46500.0
-118.11,34.16,1101.0,4.2065,INLAND,397172.0
-118.08,33.89,2045.0,4.0,<1H OCEAN,180668.0
-118.32,34.0,2300.0,1.95,<1H OCEAN,139624.0
-117.11,32.75,1329.0,1.7696,NEAR OCEAN,127844.0
-121.82,39.76,2710.0,3.0068,INLAND,133052.0
-122.28,37.89,722.0,5.4171,NEAR BAY,362080.0
-118.17,33.78,3940.0,1.9647,NEAR OCEAN,230888.0
-119.27,34.27,836.0,3.5893,NEAR OCEAN,256184.0
-118.87,35.37,1352.0,3.5441,INLAND,107880.0
-121.28,38.61,1235.0,2.4722,INLAND,128092.0
-118.07,34.1,1262.0,3.4375,<1H OCEAN,322152.0
-118.19,34.22,4353.0,9.8413,<1H OCEAN,620001.24
-122.38,40.67,1274.0,2.212,INLAND,81344.0
-122.26,37.85,910.0,3.2031,NEAR BAY,349060.0
-121.49,38.49,2902.0,2.735,INLAND,92504.0
-122.05,37.93,2957.0,4.45,NEAR BAY,229276.0
-122.06,37.7,821.0,4.6005,NEAR BAY,287184.0
-122.02,37.36,1486.0,3.9038,<1H OCEAN,302312.0
-121.92,37.34,377.0,3.0139,<1H OCEAN,253208.0
-122.04,37.65,3827.0,6.2579,NEAR BAY,391220.0
-116.37,33.72,3497.0,3.312,INLAND,150412.0
-123.41,41.6,669.0,1.965,INLAND,81096.0
-121.62,36.69,5982.0,2.5986,<1H OCEAN,168268.0
-120.1,39.17,218.0,1.7083,INLAND,178312.0
-117.34,34.12,568.0,3.3516,INLAND,130944.0
-119.26,35.87,1686.0,1.6469,INLAND,59024.0
-117.86,33.99,8686.0,6.3875,<1H OCEAN,385268.0
-118.34,34.04,1835.0,1.7014,<1H OCEAN,152768.0
-122.35,37.94,844.0,2.8967,NEAR BAY,118544.0
-118.17,33.83,531.0,4.3125,NEAR OCEAN,360220.0
-118.21,33.81,1807.0,3.0882,NEAR OCEAN,199268.0
-120.58,39.27,723.0,3.0147,INLAND,147312.0
-118.47,34.24,1855.0,2.3111,<1H OCEAN,316696.0
-122.29,37.82,94.0,2.5625,NEAR BAY,74400.0
-122.25,37.49,1790.0,6.142,NEAR OCEAN,489428.0
-116.22,33.74,2918.0,3.3107,INLAND,86056.0
-122.48,37.76,1395.0,3.9097,NEAR BAY,401512.0
-119.16,34.23,3700.0,2.7556,NEAR OCEAN,264368.0
-122.59,38.04,1238.0,8.3646,NEAR BAY,492652.0
-121.98,37.27,1318.0,5.3561,<1H OCEAN,370636.0
-118.41,34.23,753.0,4.5909,<1H OCEAN,222208.0
-117.24,32.74,757.0,4.05,NEAR OCEAN,353276.0
-118.3,33.87,823.0,5.0641,<1H OCEAN,291276.0
-122.23,37.76,1242.0,5.2128,NEAR BAY,359476.0
-117.84,33.8,843.0,3.59,<1H OCEAN,285944.0
-118.9,34.17,1880.0,5.3558,<1H OCEAN,389112.0
-117.13,32.92,1460.0,4.2614,<1H OCEAN,210304.0
-118.35,33.94,2188.0,2.6654,<1H OCEAN,176328.0
-122.4,37.72,1434.0,3.0313,NEAR BAY,271684.0
-118.29,33.74,1368.0,2.1473,NEAR OCEAN,242172.0
-118.35,34.32,54.0,1.9875,<1H OCEAN,237708.0
-121.08,39.21,1319.0,2.4811,INLAND,138632.0
-118.03,33.94,1564.0,3.4861,<1H OCEAN,219728.0
-117.18,32.74,1200.0,2.5288,NEAR OCEAN,339760.0
-121.43,38.56,532.0,2.5417,INLAND,156116.0
-117.06,32.68,2945.0,2.0959,NEAR OCEAN,155000.0
-122.11,37.71,1950.0,4.65,NEAR BAY,256432.0
-116.97,33.74,1498.0,2.2161,INLAND,95356.0
-117.81,33.73,2334.0,3.0305,<1H OCEAN,174344.0
-119.19,34.19,2726.0,3.2212,NEAR OCEAN,223820.0
-116.5,33.95,4274.0,1.6983,INLAND,82584.0
-122.35,38.3,1504.0,5.6304,NEAR BAY,301444.0
-122.23,37.76,658.0,5.75,NEAR BAY,379812.0
-121.99,38.36,75.0,3.5179,INLAND,104656.0
-121.55,38.55,2909.0,4.106,INLAND,143716.0
-119.44,36.6,2505.0,2.2863,INLAND,85808.0
-122.55,38.1,2341.0,5.0029,NEAR BAY,316944.0
-117.01,32.72,2104.0,2.3068,NEAR OCEAN,164052.0
-118.49,34.03,1208.0,3.6769,<1H OCEAN,558000.0
-118.11,33.82,1095.0,4.3203,<1H OCEAN,288672.0
-122.05,37.95,1875.0,3.1838,NEAR BAY,225680.0
-116.76,33.46,544.0,3.0694,INLAND,215016.0
-117.43,33.81,1985.0,4.2273,INLAND,366048.0
-118.38,34.05,900.0,3.0707,<1H OCEAN,518196.0
-121.32,38.74,670.0,4.3897,INLAND,231012.0
-116.96,32.8,1681.0,3.369,<1H OCEAN,166656.0
-117.17,33.66,2826.0,4.1386,<1H OCEAN,219852.0
-122.47,37.7,2466.0,3.6588,NEAR OCEAN,295864.0
-121.07,39.04,884.0,4.5042,INLAND,255936.0
-117.64,34.07,1036.0,3.2083,INLAND,152272.0
-117.36,33.98,1570.0,2.0436,INLAND,102052.0
-119.17,34.29,1896.0,5.2953,NEAR OCEAN,346456.0
-119.06,36.15,852.0,1.6354,INLAND,60760.0
-122.23,37.46,2103.0,4.4167,NEAR OCEAN,413912.0
-118.1,34.09,1517.0,4.2833,<1H OCEAN,319920.0
-117.14,32.81,800.0,4.4886,NEAR OCEAN,222084.0
-118.01,34.07,6626.0,2.2559,INLAND,206832.0
-118.09,34.08,986.0,2.6901,<1H OCEAN,292144.0
-118.46,34.18,1336.0,3.4583,<1H OCEAN,313968.0
-117.95,33.97,424.0,8.3474,<1H OCEAN,620001.24
-118.84,34.21,2537.0,5.2361,<1H OCEAN,278628.0
-122.04,38.0,1447.0,3.2484,NEAR BAY,112964.0
-122.2,38.04,1236.0,5.6022,NEAR BAY,244280.0
-121.39,38.43,990.0,5.4445,INLAND,294624.0
-119.68,36.81,1356.0,5.0253,INLAND,131688.0
-121.24,37.95,169.0,3.7734,INLAND,79112.0
-118.23,33.98,1439.0,2.39,<1H OCEAN,227292.0
-119.74,36.71,5034.0,2.1905,INLAND,76632.0
-117.7,34.05,1815.0,4.7357,INLAND,201500.0
-122.42,37.66,1746.0,4.9236,NEAR OCEAN,339140.0
-118.13,34.08,2814.0,2.6716,<1H OCEAN,281604.0
-118.04,34.17,764.0,4.0385,INLAND,329468.0
-119.77,36.83,1034.0,5.0635,INLAND,134540.0
-122.07,37.35,570.0,8.5888,<1H OCEAN,620001.24
-118.35,34.18,1277.0,4.282,<1H OCEAN,278628.0
-117.15,32.91,1598.0,4.8229,<1H OCEAN,227168.0
-120.33,38.26,252.0,4.4063,INLAND,193192.0
-121.33,37.96,730.0,2.5195,INLAND,114824.0
-118.17,34.04,655.0,3.5938,<1H OCEAN,174964.0
-116.99,34.89,1551.0,3.474,INLAND,87420.0
-120.44,38.61,796.0,3.5192,INLAND,121520.0
-121.33,38.03,635.0,2.2961,INLAND,157108.0
-118.24,33.98,230.0,3.0724,<1H OCEAN,137268.0
-119.71,34.44,927.0,5.3184,<1H OCEAN,466240.0
-120.86,35.39,629.0,2.7344,NEAR OCEAN,233492.0
-121.46,38.56,479.0,2.2125,INLAND,128960.0
-120.94,37.4,774.0,3.0,INLAND,135656.0
-118.28,33.98,1382.0,0.9337,<1H OCEAN,114452.0
-118.41,34.16,1159.0,6.3703,<1H OCEAN,577592.0
-121.29,38.13,453.0,2.3917,INLAND,140740.0
-117.11,33.19,1656.0,5.0461,<1H OCEAN,275776.0
-120.88,37.53,92.0,5.3168,INLAND,217000.0
-118.42,34.0,1002.0,3.9798,<1H OCEAN,568664.0
-123.07,38.46,280.0,2.3611,NEAR OCEAN,139500.0
-122.0,37.39,880.0,5.791,<1H OCEAN,296856.0
-120.92,37.63,22.0,1.7679,INLAND,558000.0
-121.74,38.56,2248.0,1.7257,INLAND,222084.0
-120.39,36.78,2104.0,1.7184,INLAND,68448.0
-122.59,38.44,505.0,3.183,<1H OCEAN,249488.0
-122.41,37.74,1208.0,3.6429,NEAR BAY,285200.0
-121.45,38.53,884.0,2.1679,INLAND,93496.0
-118.15,34.13,1143.0,4.7298,<1H OCEAN,620001.24
-121.27,38.67,866.0,2.7388,INLAND,138384.0
-120.44,36.84,883.0,2.8182,INLAND,112220.0
-122.73,38.43,1629.0,3.7132,<1H OCEAN,207824.0
-119.12,35.39,552.0,4.5903,INLAND,116932.0
-118.1,33.99,1271.0,3.6875,<1H OCEAN,217248.0
-119.57,36.7,899.0,2.6823,INLAND,90396.0
-117.65,33.59,1238.0,8.0409,<1H OCEAN,418996.0
-119.8,36.75,1391.0,1.3527,INLAND,75888.0
-121.42,38.51,2611.0,1.9423,INLAND,108872.0
-119.56,36.51,2157.0,2.5033,INLAND,86924.0
-122.41,37.79,1688.0,1.5156,NEAR BAY,294500.0
-117.86,34.1,588.0,5.0832,<1H OCEAN,244156.0
-118.33,33.97,922.0,4.1635,<1H OCEAN,193936.0
-121.51,38.51,1085.0,5.5208,INLAND,212412.0
-118.0,33.89,578.0,3.9861,<1H OCEAN,233988.0
-117.82,33.9,524.0,7.5744,<1H OCEAN,321532.0
-117.15,32.8,1211.0,2.75,NEAR OCEAN,108500.0
-117.79,33.69,679.0,5.7115,<1H OCEAN,389236.0
-117.09,33.13,3773.0,3.0426,<1H OCEAN,161076.0
-122.38,37.71,558.0,4.2708,NEAR BAY,256804.0
-119.84,37.48,1087.0,2.5,INLAND,129208.0
-121.96,37.0,1725.0,3.3447,NEAR OCEAN,378448.0
-117.92,34.07,1052.0,3.2122,<1H OCEAN,242420.0
-119.95,38.95,952.0,1.7245,INLAND,114328.0
-121.43,38.47,988.0,4.35,INLAND,119288.0
-118.47,33.99,1491.0,2.8417,<1H OCEAN,398536.0
-120.19,39.35,482.0,5.0622,INLAND,215884.0
-122.2,37.82,420.0,7.0175,NEAR BAY,454708.0
-118.16,34.11,2639.0,4.1661,<1H OCEAN,451856.0
-121.98,37.95,1317.0,6.7821,INLAND,329716.0
-118.88,34.28,2751.0,4.0474,<1H OCEAN,225804.0
-117.88,33.73,2594.0,3.75,<1H OCEAN,211420.0
-122.29,38.3,847.0,1.6691,NEAR BAY,227292.0
-117.0,34.89,1188.0,2.99,INLAND,86056.0
-117.43,34.12,3567.0,3.2056,INLAND,166284.0
-118.27,34.13,966.0,2.9392,<1H OCEAN,285572.0
-122.11,37.42,1267.0,6.4949,NEAR BAY,518072.0
-122.27,38.12,2109.0,2.6937,NEAR BAY,138632.0
-118.18,34.04,2118.0,1.55,<1H OCEAN,159960.0
-118.19,33.77,692.0,1.4048,NEAR OCEAN,248000.0
-117.14,32.71,857.0,1.2841,NEAR OCEAN,89280.0
-118.55,34.2,1494.0,3.5313,<1H OCEAN,262632.0
-117.88,33.78,1572.0,3.3472,<1H OCEAN,294376.0
-115.57,32.83,959.0,3.5282,INLAND,83700.0
-122.25,37.77,872.0,3.2685,NEAR BAY,315208.0
-118.32,33.8,729.0,3.1648,<1H OCEAN,303552.0
-117.28,34.13,1418.0,1.8281,INLAND,95232.0
-117.02,32.81,874.0,5.4544,<1H OCEAN,224316.0
-118.66,34.43,1556.0,3.775,INLAND,192200.0
-118.36,33.87,1275.0,4.9375,<1H OCEAN,363320.0
-118.03,33.87,1368.0,5.93,<1H OCEAN,344224.0
-121.83,38.0,1384.0,1.7161,INLAND,93992.0
-118.33,34.09,340.0,1.4375,<1H OCEAN,204600.0
-117.87,34.08,2257.0,3.2469,<1H OCEAN,256556.0
-118.5,34.2,2047.0,4.1304,<1H OCEAN,284084.0
-118.36,34.1,578.0,2.976,<1H OCEAN,502324.0
-118.39,33.81,391.0,3.7778,NEAR OCEAN,604500.0
-122.1,37.69,1256.0,2.9507,NEAR BAY,194804.0
-118.22,33.98,2650.0,2.0357,<1H OCEAN,210676.0
-122.26,37.85,1508.0,3.2619,NEAR BAY,383904.0
-118.13,33.79,947.0,5.0072,NEAR OCEAN,292888.0
-118.08,33.76,692.0,1.6111,<1H OCEAN,67332.0
-122.4,40.62,2162.0,3.1439,INLAND,127844.0
-117.96,33.81,1409.0,4.7738,<1H OCEAN,223200.0
-117.87,33.73,1970.0,3.4193,<1H OCEAN,219480.0
-118.13,33.86,645.0,4.4,<1H OCEAN,259780.0
-121.04,39.19,518.0,3.5859,INLAND,178932.0
-117.92,33.61,316.0,10.3048,<1H OCEAN,620001.24
-118.37,34.19,2203.0,2.6696,<1H OCEAN,229524.0
-122.32,37.56,377.0,3.8317,NEAR OCEAN,294500.0
-122.24,37.8,1213.0,2.6292,NEAR BAY,226548.0
-118.36,33.88,829.0,3.9844,<1H OCEAN,286068.0
-117.04,32.68,1345.0,4.0,NEAR OCEAN,110732.0
-117.67,35.64,927.0,6.1935,INLAND,143468.0
-122.31,37.57,845.0,4.1875,NEAR OCEAN,331452.0
-118.18,34.63,1677.0,4.1573,INLAND,282844.0
-118.16,33.97,286.0,1.9063,<1H OCEAN,217000.0
-118.11,33.86,685.0,4.2,<1H OCEAN,281356.0
-118.07,33.72,513.0,4.9044,NEAR OCEAN,601400.0
-118.57,34.17,908.0,6.0928,<1H OCEAN,405852.0
-118.25,33.94,940.0,2.3333,<1H OCEAN,123752.0
-118.29,34.1,1190.0,3.5172,<1H OCEAN,329220.0
-117.6,34.11,3360.0,4.8889,INLAND,193068.0
-121.42,38.68,1019.0,3.725,INLAND,139128.0
-118.24,34.23,753.0,5.1028,<1H OCEAN,362204.0
-121.53,38.5,1365.0,6.4667,INLAND,268832.0
-122.69,38.46,1117.0,5.0,<1H OCEAN,342116.0
-117.85,33.86,209.0,4.6806,<1H OCEAN,232500.0
-117.29,34.14,610.0,3.125,INLAND,121024.0
-117.01,32.7,1434.0,3.5341,NEAR OCEAN,149792.0
-117.97,33.85,546.0,5.1057,<1H OCEAN,211668.0
-123.52,41.01,517.0,2.1542,INLAND,103912.0
-121.74,37.29,2468.0,5.6411,<1H OCEAN,365428.0
-119.09,35.3,1353.0,3.6852,INLAND,136152.0
-121.25,38.66,1616.0,5.02,INLAND,210304.0
-120.89,37.54,275.0,2.2679,INLAND,310000.0
-118.31,33.99,694.0,2.895,<1H OCEAN,133920.0
-121.9,37.27,1739.0,5.0714,<1H OCEAN,316944.0
-119.06,36.07,1497.0,1.7031,INLAND,80104.0
-118.25,34.23,967.0,5.0862,<1H OCEAN,324012.0
-118.18,33.77,1105.0,1.8388,NEAR OCEAN,217000.0
-118.07,34.58,1929.0,4.0147,INLAND,133176.0
-118.15,34.16,1661.0,2.2765,<1H OCEAN,181784.0
-118.31,34.06,1351.0,2.0547,<1H OCEAN,508400.0
-121.06,39.29,894.0,3.4028,INLAND,213032.0
-117.22,32.8,1029.0,2.93,NEAR OCEAN,227292.0
-122.51,37.78,1201.0,4.0353,NEAR BAY,424328.0
-118.29,33.84,2321.0,4.7393,<1H OCEAN,294996.0
-118.46,34.18,844.0,4.5081,<1H OCEAN,311736.0
-118.94,35.4,2815.0,4.2214,INLAND,129704.0
-122.49,37.74,820.0,5.6826,NEAR OCEAN,372000.0
-117.9,33.85,1026.0,3.6,<1H OCEAN,239940.0
-121.02,39.25,604.0,2.2278,INLAND,192696.0
-117.96,33.81,980.0,4.7772,<1H OCEAN,226300.0
-118.36,34.09,1061.0,2.9643,<1H OCEAN,440572.0
-118.41,34.21,897.0,5.592,<1H OCEAN,297476.0
-118.49,34.04,1532.0,4.8125,<1H OCEAN,620001.24
-119.61,36.57,1359.0,1.5833,INLAND,80724.0
-118.45,34.12,3731.0,9.7449,<1H OCEAN,620001.24
-121.22,38.92,1206.0,4.4958,INLAND,238824.0
-118.29,33.74,1311.0,2.0329,NEAR OCEAN,279992.0
-122.44,37.73,1488.0,5.5622,NEAR BAY,388864.0
-122.7,38.35,954.0,3.7813,<1H OCEAN,181660.0
-118.12,33.96,877.0,4.625,<1H OCEAN,237212.0
-120.65,35.12,1425.0,2.9615,<1H OCEAN,220844.0
-122.4,37.72,647.0,2.1187,NEAR BAY,296732.0
-118.2,33.97,2830.0,2.754,<1H OCEAN,206088.0
-117.29,33.19,4127.0,3.0704,NEAR OCEAN,187984.0
-117.44,34.09,2588.0,2.375,INLAND,141112.0
-117.08,32.82,770.0,7.1298,<1H OCEAN,345464.0
-117.05,32.59,1326.0,4.2679,NEAR OCEAN,163556.0
-118.58,34.24,1529.0,3.2426,<1H OCEAN,293756.0
-117.03,32.79,1077.0,4.2992,<1H OCEAN,216256.0
-115.58,32.81,458.0,4.475,INLAND,119412.0
-118.25,33.92,502.0,4.1042,<1H OCEAN,154256.0
-118.27,33.92,1166.0,1.9185,<1H OCEAN,115692.0
-122.04,37.24,539.0,11.1557,<1H OCEAN,620001.24
-122.13,37.46,1133.0,3.7312,NEAR BAY,197904.0
