longitude,latitude,population_range,ocean_proximity,land_value
-117.82,33.88,0-2000,<1H OCEAN,327194.8526666667
-121.9,37.44,0-2000,<1H OCEAN,457537.3906666666
-121.45,38.54,0-2000,INLAND,84072.24111111111
-119.81,36.83,2000-4000,INLAND,160276.40666666668
-118.36,33.8,0-2000,NEAR OCEAN,574708.1857333336
-117.68,33.59,0-2000,<1H OCEAN,400597.31813333335
-118.04,33.88,2000-4000,<1H OCEAN,321946.47
-118.43,34.01,0-2000,<1H OCEAN,589426.2748
-122.71,38.5,2000-4000,<1H OCEAN,324737.9284761904
-121.83,36.6,0-2000,<1H OCEAN,240888.848
-120.82,35.31,0-2000,NEAR OCEAN,275177.1172
-120.06,36.95,0-2000,INLAND,75397.16666666667
-122.14,37.68,0-2000,NEAR BAY,264013.23009523813
-116.46,33.78,0-2000,INLAND,159378.44
-121.09,38.19,0-2000,INLAND,191087.72
-121.32,38.57,0-2000,INLAND,143534.96
-120.99,37.66,0-2000,INLAND,160158.91666666666
-122.22,37.79,0-2000,NEAR BAY,154865.04371428577
-122.47,37.78,0-2000,NEAR BAY,493077.8286460316
-117.91,33.61,0-2000,<1H OCEAN,618063.7296666672
-121.53,39.06,0-2000,INLAND,91072.21333333332
-117.04,32.83,0-2000,<1H OCEAN,297819.48
-118.13,34.11,0-2000,<1H OCEAN,482827.7445333334
-122.32,38.06,2000-4000,NEAR BAY,198757.12
-121.73,37.68,8000-10000,INLAND,243700.94066666666
-118.98,35.4,0-2000,INLAND,91259.97
-121.9,37.25,0-2000,<1H OCEAN,304733.6166666667
-121.3,38.69,0-2000,INLAND,161414.18933333334
-115.64,32.75,0-2000,INLAND,116300.42666666668
-117.89,33.76,0-2000,<1H OCEAN,228695.6681904762
-118.36,33.92,0-2000,<1H OCEAN,271916.2933333333
-117.06,32.58,2000-4000,NEAR OCEAN,175513.444
-115.49,32.67,2000-4000,INLAND,106268.0
-117.31,34.09,0-2000,INLAND,92878.17
-121.03,39.21,0-2000,INLAND,145328.0
-117.05,32.72,0-2000,NEAR OCEAN,162423.26
-117.95,33.92,0-2000,<1H OCEAN,220732.4
-119.01,35.31,4000-6000,INLAND,88245.08714285714
-119.17,34.27,2000-4000,NEAR OCEAN,298817.3493333333
-118.07,34.14,0-2000,INLAND,345710.26606666663
-122.23,38.1,2000-4000,NEAR BAY,134483.86933333336
-117.75,34.06,0-2000,INLAND,131272.74761904762
-118.27,33.81,0-2000,<1H OCEAN,198280.44333333333
-121.32,38.0,0-2000,INLAND,120356.36333333333
-118.99,36.06,0-2000,INLAND,84130.9
-122.37,40.54,0-2000,INLAND,137643.72
-120.39,37.98,0-2000,INLAND,163842.44
-118.33,34.11,0-2000,<1H OCEAN,536453.9843809524
-118.08,33.89,0-2000,<1H OCEAN,171055.83442857134
-117.25,33.36,2000-4000,<1H OCEAN,210157.68
-119.15,36.29,0-2000,INLAND,77588.97295238095
-117.63,33.94,2000-4000,INLAND,230274.2
-118.55,34.19,2000-4000,<1H OCEAN,283602.632
-117.89,33.71,0-2000,<1H OCEAN,243350.62
-117.69,33.66,0-2000,<1H OCEAN,401850.9333333333
-118.35,33.88,0-2000,<1H OCEAN,289547.4595930736
-118.09,34.16,0-2000,INLAND,359763.91914285714
-121.05,39.11,0-2000,INLAND,200462.12
-118.21,34.1,0-2000,<1H OCEAN,269420.4213333333
-119.04,36.07,0-2000,INLAND,95305.16
-117.3,34.15,0-2000,INLAND,112863.80799999999
-117.75,34.06,0-2000,INLAND,131272.74761904762
-114.61,33.62,0-2000,INLAND,81561.0
-117.61,34.13,4000-6000,INLAND,241110.14666666667
-118.11,34.05,0-2000,<1H OCEAN,274940.94266666664
-118.95,35.26,0-2000,INLAND,93375.14133333335
-118.35,33.9,2000-4000,<1H OCEAN,260049.28666666665
-122.89,38.93,0-2000,<1H OCEAN,139327.64
-121.89,36.6,0-2000,<1H OCEAN,510106.3668933333
-118.31,34.26,0-2000,<1H OCEAN,268227.77457142854
-122.01,37.25,0-2000,<1H OCEAN,620001.2400000006
-118.37,34.04,0-2000,<1H OCEAN,270653.309047619
-117.19,32.76,0-2000,NEAR OCEAN,521351.7975199998
-119.71,36.8,0-2000,INLAND,98126.60433333332
-117.28,34.68,0-2000,INLAND,136972.15666666668
-120.84,35.32,0-2000,NEAR OCEAN,250208.44
-118.13,34.02,0-2000,<1H OCEAN,214465.95666666667
-117.02,33.6,0-2000,INLAND,256425.8
-116.97,32.76,0-2000,<1H OCEAN,323388.28
-117.71,33.61,0-2000,<1H OCEAN,113908.56999999998
-121.58,39.79,0-2000,INLAND,124108.45866666667
-118.24,34.15,2000-4000,<1H OCEAN,304035.7033333333
-122.68,38.44,0-2000,<1H OCEAN,218057.596
-118.14,33.84,0-2000,<1H OCEAN,338949.44152380957
-117.88,34.1,0-2000,<1H OCEAN,224000.7624761905
-117.67,33.44,0-2000,<1H OCEAN,368740.17226666666
-120.47,34.64,0-2000,NEAR OCEAN,157955.54
-122.22,37.47,4000-6000,NEAR OCEAN,271620.55333333334
-122.25,37.86,0-2000,NEAR BAY,510797.45634920633
-118.11,34.06,0-2000,<1H OCEAN,241868.08190476193
-122.2,39.52,0-2000,INLAND,88656.28
-119.9,36.58,0-2000,INLAND,104326.16
-118.26,33.79,0-2000,<1H OCEAN,222022.71742857146
-122.51,37.53,0-2000,NEAR OCEAN,504408.44
-118.37,33.93,0-2000,<1H OCEAN,299909.0089206349
-118.31,33.99,0-2000,<1H OCEAN,129669.39366666669
-117.94,33.65,0-2000,<1H OCEAN,318499.5445714286
-118.46,34.0,0-2000,<1H OCEAN,390463.58376190474
-122.33,37.95,0-2000,NEAR BAY,165451.81041269845
-117.67,34.05,0-2000,INLAND,163256.23
-118.05,33.94,0-2000,<1H OCEAN,206917.13485714287
-118.27,33.89,0-2000,<1H OCEAN,152033.92590476188
-117.16,33.57,6000-8000,<1H OCEAN,247138.2
-118.46,34.03,0-2000,<1H OCEAN,409270.8556666667
-122.44,37.77,2000-4000,NEAR BAY,584831.4109325397
-122.03,37.6,0-2000,NEAR BAY,251767.14066666667
-117.96,34.71,0-2000,INLAND,180764.72
-117.83,34.01,4000-6000,<1H OCEAN,369989.96
-118.62,34.2,0-2000,<1H OCEAN,301305.32666666666
-121.45,38.62,0-2000,INLAND,78926.186
-122.48,37.71,0-2000,NEAR OCEAN,474976.8126666666
-123.22,39.15,0-2000,<1H OCEAN,150953.88
-122.11,37.39,0-2000,NEAR BAY,559310.2196352382
-117.71,33.47,0-2000,<1H OCEAN,473976.67
-118.07,33.87,0-2000,<1H OCEAN,284095.16
-122.11,37.66,2000-4000,NEAR BAY,249785.6826666667
-117.93,34.04,0-2000,<1H OCEAN,215102.96533333333
-122.03,37.39,0-2000,<1H OCEAN,297722.06146666664
-118.35,33.9,0-2000,<1H OCEAN,282576.8833333334
-117.13,32.72,0-2000,NEAR OCEAN,181558.2432380952
-121.66,36.82,0-2000,<1H OCEAN,306900.82666666666
-118.13,34.05,0-2000,<1H OCEAN,299497.51
-118.28,34.05,2000-4000,<1H OCEAN,236658.93293650792
-118.17,34.1,0-2000,<1H OCEAN,201150.78942857147
-121.33,37.97,0-2000,INLAND,114278.50333333333
-117.23,32.74,0-2000,NEAR OCEAN,316295.3678095239
-121.29,38.6,0-2000,INLAND,132701.90666666665
-117.95,34.04,0-2000,<1H OCEAN,198595.9731428571
-121.83,36.61,2000-4000,<1H OCEAN,172410.22
-119.21,34.26,0-2000,NEAR OCEAN,177549.97571428574
-118.29,33.91,0-2000,<1H OCEAN,195089.78752380953
-118.74,34.26,0-2000,<1H OCEAN,254441.18
-118.2,33.96,0-2000,<1H OCEAN,203645.2516666666
-117.93,33.65,0-2000,<1H OCEAN,290560.0180952382
-124.09,40.88,0-2000,NEAR OCEAN,106482.52
-121.39,38.56,2000-4000,INLAND,223017.10000000003
-117.33,34.13,0-2000,INLAND,88803.01333333332
-118.75,34.33,0-2000,<1H OCEAN,329547.36
-118.1,33.93,0-2000,<1H OCEAN,222237.72752380956
-118.49,34.25,0-2000,<1H OCEAN,313745.8333333334
-117.69,34.06,0-2000,INLAND,168028.8866666667
-117.06,32.57,0-2000,NEAR OCEAN,172415.2316666667
-118.46,34.29,2000-4000,<1H OCEAN,234623.91333333333
-121.74,38.55,2000-4000,INLAND,245554.72
-116.89,33.73,0-2000,INLAND,136218.96
-121.89,37.25,0-2000,<1H OCEAN,303889.07333333336
-122.15,37.72,0-2000,NEAR BAY,249703.38800000004
-119.29,34.26,0-2000,NEAR OCEAN,364564.38959999994
-118.19,33.89,2000-4000,<1H OCEAN,134581.99466666664
-117.66,34.06,2000-4000,INLAND,145966.92033333334
-118.06,33.8,0-2000,<1H OCEAN,264978.38999999996
-118.0,33.95,0-2000,<1H OCEAN,412559.94533333334
-117.95,33.84,0-2000,<1H OCEAN,223140.67780952386
-117.88,33.9,0-2000,<1H OCEAN,188572.56600000002
-118.12,34.11,0-2000,<1H OCEAN,577047.3300000004
-120.99,37.69,0-2000,INLAND,176348.10866666667
-118.37,33.91,0-2000,<1H OCEAN,350911.0852857142
-121.74,36.47,0-2000,<1H OCEAN,379702.88
-122.19,37.48,4000-6000,NEAR BAY,342636.53133333323
-116.95,32.78,0-2000,<1H OCEAN,178462.8046666667
-117.8,33.76,0-2000,<1H OCEAN,379969.9187238095
-115.54,32.79,0-2000,INLAND,71002.4
-118.43,34.17,0-2000,<1H OCEAN,441558.7473009525
-120.69,35.49,0-2000,<1H OCEAN,212447.81533333336
-118.32,33.94,0-2000,<1H OCEAN,229169.48399999994
-121.18,37.96,0-2000,INLAND,129769.65800000001
-121.33,37.96,0-2000,INLAND,117803.01733333334
-119.95,36.96,0-2000,INLAND,99042.10666666667
-118.47,34.0,0-2000,<1H OCEAN,387531.26560692646
-124.09,40.88,0-2000,NEAR OCEAN,106482.52
-117.19,33.64,0-2000,<1H OCEAN,183201.32
-120.64,40.41,0-2000,INLAND,83574.76
-119.72,34.42,0-2000,NEAR OCEAN,344334.4013333332
-115.49,32.69,0-2000,INLAND,111138.72
-118.1,34.11,0-2000,<1H OCEAN,520436.82466666674
-122.82,38.39,0-2000,<1H OCEAN,284090.2
-118.34,34.12,0-2000,<1H OCEAN,611250.3988000004
-118.29,34.0,0-2000,<1H OCEAN,144414.22064935064
-121.44,38.73,0-2000,INLAND,127109.92
-117.22,32.83,0-2000,NEAR OCEAN,254974.58371428572
-122.63,38.26,2000-4000,<1H OCEAN,265216.6973333333
-118.17,34.18,0-2000,<1H OCEAN,369153.30719999986
-124.17,40.79,0-2000,NEAR OCEAN,86203.89066666666
-118.37,34.15,0-2000,<1H OCEAN,410779.44675238087
-118.93,34.82,0-2000,INLAND,152433.2
-122.24,37.47,0-2000,NEAR OCEAN,393889.37279999995
-122.26,37.85,0-2000,NEAR BAY,322255.90855555556
-118.04,33.99,0-2000,<1H OCEAN,225426.63749206346
-117.92,33.92,0-2000,<1H OCEAN,235140.37333333335
-116.51,33.89,0-2000,INLAND,141273.2248
-117.94,33.84,2000-4000,<1H OCEAN,264276.9958095238
-122.07,38.24,4000-6000,INLAND,230093.16
-118.25,33.93,0-2000,<1H OCEAN,107700.1940952381
-118.86,34.22,0-2000,<1H OCEAN,316954.10599999997
-121.47,38.72,0-2000,INLAND,121823.8
-118.2,33.92,0-2000,<1H OCEAN,181157.0766666667
-122.13,37.7,2000-4000,NEAR BAY,254649.37600000002
-122.01,37.27,0-2000,<1H OCEAN,618957.1476000005
-124.08,40.94,0-2000,NEAR OCEAN,127148.36
-118.31,34.26,0-2000,<1H OCEAN,268227.77457142854
-117.29,33.2,0-2000,NEAR OCEAN,196093.0154285714
-117.72,33.54,0-2000,<1H OCEAN,447055.62519999995
-118.46,34.25,0-2000,<1H OCEAN,256930.48
-120.73,39.63,0-2000,INLAND,106189.384
-122.54,38.36,0-2000,<1H OCEAN,338307.96
-122.91,39.17,0-2000,INLAND,106027.44
-117.27,34.16,0-2000,INLAND,131700.42952380952
-118.23,33.93,0-2000,<1H OCEAN,117859.86247619044
-117.34,34.13,0-2000,INLAND,131231.68
-118.13,33.79,0-2000,NEAR OCEAN,401366.4538190477
-120.47,34.63,0-2000,NEAR OCEAN,213536.78333333335
-119.32,36.2,0-2000,INLAND,97473.09333333332
-118.4,34.03,0-2000,<1H OCEAN,471024.3457333334
-122.99,39.02,0-2000,<1H OCEAN,134815.28
-117.99,33.72,0-2000,<1H OCEAN,214048.397
-117.13,32.76,0-2000,NEAR OCEAN,175486.10938095243
-117.23,34.51,2000-4000,INLAND,170880.16333333333
-122.44,37.75,0-2000,NEAR BAY,445687.1151428572
-121.02,37.68,0-2000,INLAND,142853.41466666668
-117.97,33.71,0-2000,<1H OCEAN,335125.29333333333
-119.3,34.42,2000-4000,NEAR OCEAN,297948.44
-117.87,33.84,0-2000,<1H OCEAN,261224.8539047619
-122.4,37.71,0-2000,NEAR BAY,286804.7341904762
-120.98,37.66,0-2000,INLAND,145157.80999999997
-117.61,34.34,0-2000,INLAND,186353.4
-121.81,37.99,0-2000,INLAND,192863.55057142858
-122.67,38.44,0-2000,<1H OCEAN,224660.782
-118.3,34.07,2000-4000,<1H OCEAN,289621.9226666667
-119.71,36.81,0-2000,INLAND,79982.356
-121.88,37.34,0-2000,<1H OCEAN,305734.57714285713
-116.93,32.81,0-2000,<1H OCEAN,173096.56
-121.01,37.33,0-2000,INLAND,119459.12
-123.2,39.13,0-2000,<1H OCEAN,151694.036
-116.87,32.72,0-2000,<1H OCEAN,320069.8333333334
-122.48,37.51,0-2000,NEAR OCEAN,520074.6
-118.44,34.25,0-2000,<1H OCEAN,211170.14
-120.33,34.87,0-2000,<1H OCEAN,343813.56
-118.34,33.91,2000-4000,<1H OCEAN,253789.63226623376
-118.68,34.08,0-2000,NEAR OCEAN,601796.6388000004
-118.46,34.05,0-2000,<1H OCEAN,490056.90009999997
-116.95,33.76,2000-4000,INLAND,113853.08
-121.22,37.79,0-2000,INLAND,179609.9286666667
-118.15,34.04,0-2000,<1H OCEAN,258555.1417777778
-117.7,33.6,0-2000,<1H OCEAN,132299.14433333333
-118.1,34.16,0-2000,INLAND,347261.82285714283
-121.48,38.61,0-2000,INLAND,115603.13333333335
-121.7,37.93,0-2000,INLAND,201524.8
-122.28,37.82,0-2000,NEAR BAY,107732.12114285716
-121.8,38.0,0-2000,INLAND,138031.96399999998
-121.92,37.25,0-2000,<1H OCEAN,304414.31666666665
-122.41,37.79,4000-6000,NEAR BAY,392348.850134762
-121.58,37.03,2000-4000,INLAND,269533.79866666667
-118.35,34.07,2000-4000,<1H OCEAN,588081.1664066665
-122.53,37.5,2000-4000,NEAR OCEAN,512586.2772
-117.64,34.09,0-2000,INLAND,155669.94838095235
-118.3,34.06,2000-4000,<1H OCEAN,297818.81866666663
-117.09,32.71,2000-4000,NEAR OCEAN,126272.87866666666
-117.9,33.63,0-2000,<1H OCEAN,570630.0648466666
-122.45,37.72,0-2000,NEAR BAY,277641.75884615374
-118.52,34.21,0-2000,<1H OCEAN,258833.88
-121.02,37.62,0-2000,INLAND,99963.75733333334
-118.29,34.03,0-2000,<1H OCEAN,208896.18469841263
-121.16,41.78,0-2000,INLAND,56763.48
-118.13,33.93,0-2000,<1H OCEAN,260180.31333333332
-117.92,33.94,2000-4000,<1H OCEAN,289257.1766666667
-121.03,37.68,2000-4000,INLAND,132618.20666666667
-118.42,34.01,0-2000,<1H OCEAN,463214.1921255412
-117.27,33.06,0-2000,NEAR OCEAN,340887.9866666667
-121.64,36.68,6000-8000,<1H OCEAN,177986.29333333333
-119.65,36.37,0-2000,INLAND,129323.73333333334
-117.31,34.51,0-2000,INLAND,136234.46
-117.99,33.66,0-2000,<1H OCEAN,346708.40790476196
-118.09,33.92,0-2000,<1H OCEAN,209318.10011111115
-121.02,36.24,0-2000,<1H OCEAN,153191.2858095238
-118.07,33.9,0-2000,<1H OCEAN,205745.24333333332
-122.27,37.84,0-2000,NEAR BAY,168543.56047619044
-122.25,37.5,0-2000,NEAR OCEAN,445624.19813333324
-118.42,34.15,0-2000,<1H OCEAN,468551.4338095237
-121.08,37.69,2000-4000,INLAND,222741.2
-122.32,40.57,0-2000,INLAND,122448.03666666667
-122.45,37.69,0-2000,NEAR OCEAN,313111.31844444445
-122.68,38.4,0-2000,<1H OCEAN,267875.9186666666
-118.25,34.12,0-2000,<1H OCEAN,233846.0052380952
-120.46,34.64,0-2000,NEAR OCEAN,169002.53466666664
-118.28,34.02,0-2000,<1H OCEAN,166232.57926666667
-117.34,33.16,0-2000,NEAR OCEAN,325019.30056666664
-120.97,37.84,0-2000,INLAND,187762.04
-117.25,32.79,0-2000,NEAR OCEAN,381334.1398571429
-121.64,36.72,2000-4000,<1H OCEAN,196789.24
-118.47,34.25,0-2000,<1H OCEAN,250617.888
-117.14,32.72,0-2000,NEAR OCEAN,180630.552
-118.15,34.02,2000-4000,<1H OCEAN,194993.94044444445
-117.29,33.13,0-2000,NEAR OCEAN,184236.73239999998
-117.96,33.78,0-2000,<1H OCEAN,279266.65314285713
-122.81,38.08,0-2000,NEAR OCEAN,341376.96
-117.78,33.85,0-2000,<1H OCEAN,349491.8093333334
-117.89,34.1,0-2000,<1H OCEAN,220458.83533333332
-122.16,37.74,0-2000,NEAR BAY,144202.85893650795
-122.12,37.16,0-2000,NEAR OCEAN,278084.88
-118.09,33.98,0-2000,<1H OCEAN,204744.0112380952
-118.18,33.98,2000-4000,<1H OCEAN,206870.9153333333
-117.91,34.06,0-2000,<1H OCEAN,259999.728
-117.68,34.15,0-2000,INLAND,464117.12
-118.3,34.05,0-2000,<1H OCEAN,204633.4750793651
-121.88,37.43,2000-4000,<1H OCEAN,308929.73815151514
-122.48,37.76,0-2000,NEAR BAY,412098.4685079366
-119.8,36.72,0-2000,INLAND,65358.1857142857
-123.22,39.16,2000-4000,<1H OCEAN,174044.33333333337
-119.17,34.17,0-2000,NEAR OCEAN,219665.78300000005
-120.32,38.71,0-2000,INLAND,185463.11719999998
-119.64,36.56,0-2000,INLAND,104634.09333333334
-117.84,35.54,0-2000,INLAND,106489.96
-122.1,38.24,2000-4000,NEAR BAY,371415.96
-122.27,37.32,0-2000,NEAR OCEAN,604467.6608000004
-118.1,33.89,0-2000,<1H OCEAN,225097.7225714286
-117.02,32.75,0-2000,<1H OCEAN,197239.36
-117.32,34.12,2000-4000,INLAND,87102.87
-121.42,38.62,0-2000,INLAND,96442.44666666666
-118.15,34.11,0-2000,<1H OCEAN,454784.4842333333
-118.14,33.91,0-2000,<1H OCEAN,236365.05933333337
-122.37,37.58,0-2000,NEAR OCEAN,619380.5642000004
-117.13,32.9,0-2000,<1H OCEAN,201865.51066666667
-120.25,37.11,0-2000,INLAND,88363.64
-117.27,32.85,0-2000,NEAR OCEAN,592139.5932000002
-118.32,34.19,0-2000,<1H OCEAN,303485.4828571429
-118.3,33.78,0-2000,<1H OCEAN,336855.37853333337
-121.2,38.73,0-2000,INLAND,271378.34
-121.9,36.61,0-2000,NEAR OCEAN,308482.2340952381
-117.14,32.92,0-2000,<1H OCEAN,174867.4807619048
-118.36,34.16,0-2000,<1H OCEAN,413209.2063809523
-117.89,33.92,0-2000,<1H OCEAN,199706.2425714286
-121.48,38.56,0-2000,INLAND,156243.596
-119.05,35.36,2000-4000,INLAND,110482.59466666667
-120.85,37.49,0-2000,INLAND,110319.1242857143
-118.34,34.08,0-2000,<1H OCEAN,574079.252960765
-118.1,34.13,0-2000,<1H OCEAN,618136.0196000006
-117.22,33.19,0-2000,<1H OCEAN,241972.36
-118.46,34.26,0-2000,<1H OCEAN,258573.8933333333
