longitude,latitude,population_range,ocean_proximity
-116.97,32.76,0-2000,<1H OCEAN
-117.71,33.61,0-2000,<1H OCEAN
-121.58,39.79,0-2000,INLAND
-118.24,34.15,2000-4000,<1H OCEAN
-122.68,38.44,0-2000,<1H OCEAN
-118.14,33.84,0-2000,<1H OCEAN
-117.88,34.1,0-2000,<1H OCEAN
-117.67,33.44,0-2000,<1H OCEAN
-120.47,34.64,0-2000,NEAR OCEAN
-122.22,37.47,4000-6000,NEAR OCEAN
-122.25,37.86,0-2000,NEAR BAY
-118.11,34.06,0-2000,<1H OCEAN
-122.2,39.52,0-2000,INLAND
-119.9,36.58,0-2000,INLAND
-118.26,33.79,0-2000,<1H OCEAN
-122.51,37.53,0-2000,NEAR OCEAN
-118.37,33.93,0-2000,<1H OCEAN
-118.31,33.99,0-2000,<1H OCEAN
-117.94,33.65,0-2000,<1H OCEAN
-118.46,34,0-2000,<1H OCEAN
-122.33,37.95,0-2000,NEAR BAY
-117.67,34.05,0-2000,INLAND
-118.05,33.94,0-2000,<1H OCEAN
-118.27,33.89,0-2000,<1H OCEAN
-117.16,33.57,6000-8000,<1H OCEAN
-118.46,34.03,0-2000,<1H OCEAN
-122.44,37.77,2000-4000,NEAR BAY
-122.03,37.6,0-2000,NEAR BAY
-117.96,34.71,0-2000,INLAND
-117.83,34.01,4000-6000,<1H OCEAN
-118.62,34.2,0-2000,<1H OCEAN
-121.45,38.62,0-2000,INLAND
-122.48,37.71,0-2000,NEAR OCEAN
-123.22,39.15,0-2000,<1H OCEAN
-122.11,37.39,0-2000,NEAR BAY
-117.71,33.47,0-2000,<1H OCEAN
-118.07,33.87,0-2000,<1H OCEAN
-122.11,37.66,2000-4000,NEAR BAY
-117.93,34.04,0-2000,<1H OCEAN
-122.03,37.39,0-2000,<1H OCEAN
-118.35,33.9,0-2000,<1H OCEAN
-117.13,32.72,0-2000,NEAR OCEAN
-121.66,36.82,0-2000,<1H OCEAN
-118.13,34.05,0-2000,<1H OCEAN
-118.28,34.05,2000-4000,<1H OCEAN
-118.17,34.1,0-2000,<1H OCEAN
-121.33,37.97,0-2000,INLAND
-117.23,32.74,0-2000,NEAR OCEAN
-121.29,38.6,0-2000,INLAND
-117.95,34.04,0-2000,<1H OCEAN
-121.83,36.61,2000-4000,<1H OCEAN
-119.21,34.26,0-2000,NEAR OCEAN
-118.29,33.91,0-2000,<1H OCEAN
-118.74,34.26,0-2000,<1H OCEAN
-118.2,33.96,0-2000,<1H OCEAN
-117.93,33.65,0-2000,<1H OCEAN
-124.09,40.88,0-2000,NEAR OCEAN
-121.39,38.56,2000-4000,INLAND
-117.33,34.13,0-2000,INLAND
-118.75,34.33,0-2000,<1H OCEAN
-118.1,33.93,0-2000,<1H OCEAN
-118.49,34.25,0-2000,<1H OCEAN
-117.69,34.06,0-2000,INLAND
-117.06,32.57,0-2000,NEAR OCEAN
-118.46,34.29,2000-4000,<1H OCEAN
-121.74,38.55,2000-4000,INLAND
-116.89,33.73,0-2000,INLAND
-121.89,37.25,0-2000,<1H OCEAN
-122.15,37.72,0-2000,NEAR BAY
-119.29,34.26,0-2000,NEAR OCEAN
-118.19,33.89,2000-4000,<1H OCEAN
-117.66,34.06,2000-4000,INLAND
-118.06,33.8,0-2000,<1H OCEAN
-118,33.95,0-2000,<1H OCEAN
-117.95,33.84,0-2000,<1H OCEAN
-117.88,33.9,0-2000,<1H OCEAN
-118.12,34.11,0-2000,<1H OCEAN
-120.99,37.69,0-2000,INLAND
-118.37,33.91,0-2000,<1H OCEAN
-121.74,36.47,0-2000,<1H OCEAN
-122.19,37.48,4000-6000,NEAR BAY
-116.95,32.78,0-2000,<1H OCEAN
-117.8,33.76,0-2000,<1H OCEAN
-115.54,32.79,0-2000,INLAND
-118.43,34.17,0-2000,<1H OCEAN
-120.69,35.49,0-2000,<1H OCEAN
-118.32,33.94,0-2000,<1H OCEAN
-121.18,37.96,0-2000,INLAND
-121.33,37.96,0-2000,INLAND
-119.95,36.96,0-2000,INLAND
-118.47,34,0-2000,<1H OCEAN
-124.09,40.88,0-2000,NEAR OCEAN
-117.19,33.64,0-2000,<1H OCEAN
-120.64,40.41,0-2000,INLAND
-119.72,34.42,0-2000,NEAR OCEAN
-115.49,32.69,0-2000,INLAND
-118.1,34.11,0-2000,<1H OCEAN
-122.82,38.39,0-2000,<1H OCEAN
-118.34,34.12,0-2000,<1H OCEAN
-118.29,34,0-2000,<1H OCEAN
-121.44,38.73,0-2000,INLAND
-117.22,32.83,0-2000,NEAR OCEAN
-122.63,38.26,2000-4000,<1H OCEAN
-118.17,34.18,0-2000,<1H OCEAN
-124.17,40.79,0-2000,NEAR OCEAN
-118.37,34.15,0-2000,<1H OCEAN
-118.93,34.82,0-2000,INLAND
-122.24,37.47,0-2000,NEAR OCEAN
-122.26,37.85,0-2000,NEAR BAY
-118.04,33.99,0-2000,<1H OCEAN
-117.92,33.92,0-2000,<1H OCEAN
-116.51,33.89,0-2000,INLAND
-117.94,33.84,2000-4000,<1H OCEAN
-122.07,38.24,4000-6000,INLAND
-118.25,33.93,0-2000,<1H OCEAN
-118.86,34.22,0-2000,<1H OCEAN
-121.47,38.72,0-2000,INLAND
-118.2,33.92,0-2000,<1H OCEAN
-122.13,37.7,2000-4000,NEAR BAY
-122.01,37.27,0-2000,<1H OCEAN
-124.08,40.94,0-2000,NEAR OCEAN
-118.31,34.26,0-2000,<1H OCEAN
-117.29,33.2,0-2000,NEAR OCEAN
-117.72,33.54,0-2000,<1H OCEAN
-118.46,34.25,0-2000,<1H OCEAN
-120.73,39.63,0-2000,INLAND
-122.54,38.36,0-2000,<1H OCEAN
-122.91,39.17,0-2000,INLAND
-117.27,34.16,0-2000,INLAND
-118.23,33.93,0-2000,<1H OCEAN
-117.34,34.13,0-2000,INLAND
-118.13,33.79,0-2000,NEAR OCEAN
-120.47,34.63,0-2000,NEAR OCEAN
-119.32,36.2,0-2000,INLAND
-118.4,34.03,0-2000,<1H OCEAN
-122.99,39.02,0-2000,<1H OCEAN
-117.99,33.72,0-2000,<1H OCEAN
-117.13,32.76,0-2000,NEAR OCEAN
-117.23,34.51,2000-4000,INLAND
-122.44,37.75,0-2000,NEAR BAY
-121.02,37.68,0-2000,INLAND
-117.97,33.71,0-2000,<1H OCEAN
-119.3,34.42,2000-4000,NEAR OCEAN
-117.87,33.84,0-2000,<1H OCEAN
-122.4,37.71,0-2000,NEAR BAY
-120.98,37.66,0-2000,INLAND
-117.61,34.34,0-2000,INLAND
-121.81,37.99,0-2000,INLAND
-122.67,38.44,0-2000,<1H OCEAN
-118.3,34.07,2000-4000,<1H OCEAN
-119.71,36.81,0-2000,INLAND
-121.88,37.34,0-2000,<1H OCEAN
-116.93,32.81,0-2000,<1H OCEAN
-121.01,37.33,0-2000,INLAND
-123.2,39.13,0-2000,<1H OCEAN
-116.87,32.72,0-2000,<1H OCEAN
-122.48,37.51,0-2000,NEAR OCEAN
-118.44,34.25,0-2000,<1H OCEAN
-120.33,34.87,0-2000,<1H OCEAN
-118.34,33.91,2000-4000,<1H OCEAN
-118.68,34.08,0-2000,NEAR OCEAN
-118.46,34.05,0-2000,<1H OCEAN
-116.95,33.76,2000-4000,INLAND
-121.22,37.79,0-2000,INLAND
-118.15,34.04,0-2000,<1H OCEAN
-117.7,33.6,0-2000,<1H OCEAN
-118.1,34.16,0-2000,INLAND
-121.48,38.61,0-2000,INLAND
-121.7,37.93,0-2000,INLAND
-122.28,37.82,0-2000,NEAR BAY
-121.8,38,0-2000,INLAND
-121.92,37.25,0-2000,<1H OCEAN
-122.41,37.79,4000-6000,NEAR BAY
-121.58,37.03,2000-4000,INLAND
-118.35,34.07,2000-4000,<1H OCEAN
-122.53,37.5,2000-4000,NEAR OCEAN
-117.64,34.09,0-2000,INLAND
-118.3,34.06,2000-4000,<1H OCEAN
-117.09,32.71,2000-4000,NEAR OCEAN
-117.9,33.63,0-2000,<1H OCEAN
-122.45,37.72,0-2000,NEAR BAY
-118.52,34.21,0-2000,<1H OCEAN
-121.02,37.62,0-2000,INLAND
-118.29,34.03,0-2000,<1H OCEAN
-121.16,41.78,0-2000,INLAND
-118.13,33.93,0-2000,<1H OCEAN
-117.92,33.94,2000-4000,<1H OCEAN
-121.03,37.68,2000-4000,INLAND
-118.42,34.01,0-2000,<1H OCEAN
-117.27,33.06,0-2000,NEAR OCEAN
-121.64,36.68,6000-8000,<1H OCEAN
-119.65,36.37,0-2000,INLAND
-117.31,34.51,0-2000,INLAND
-117.99,33.66,0-2000,<1H OCEAN
-118.09,33.92,0-2000,<1H OCEAN
-121.02,36.24,0-2000,<1H OCEAN
-118.07,33.9,0-2000,<1H OCEAN
-122.27,37.84,0-2000,NEAR BAY
-122.25,37.5,0-2000,NEAR OCEAN
-118.42,34.15,0-2000,<1H OCEAN
-121.08,37.69,2000-4000,INLAND
-122.32,40.57,0-2000,INLAND
-122.45,37.69,0-2000,NEAR OCEAN
-122.68,38.4,0-2000,<1H OCEAN
-118.25,34.12,0-2000,<1H OCEAN
-120.46,34.64,0-2000,NEAR OCEAN
-118.28,34.02,0-2000,<1H OCEAN
-117.34,33.16,0-2000,NEAR OCEAN
-120.97,37.84,0-2000,INLAND
-117.25,32.79,0-2000,NEAR OCEAN
-121.64,36.72,2000-4000,<1H OCEAN
-118.47,34.25,0-2000,<1H OCEAN
-117.14,32.72,0-2000,NEAR OCEAN
-118.15,34.02,2000-4000,<1H OCEAN
-117.29,33.13,0-2000,NEAR OCEAN
-117.96,33.78,0-2000,<1H OCEAN
-122.81,38.08,0-2000,NEAR OCEAN
-117.78,33.85,0-2000,<1H OCEAN
-117.89,34.1,0-2000,<1H OCEAN
-122.16,37.74,0-2000,NEAR BAY
-122.12,37.16,0-2000,NEAR OCEAN
-118.09,33.98,0-2000,<1H OCEAN
-118.18,33.98,2000-4000,<1H OCEAN
-117.91,34.06,0-2000,<1H OCEAN
-117.68,34.15,0-2000,INLAND
-118.3,34.05,0-2000,<1H OCEAN
-121.88,37.43,2000-4000,<1H OCEAN
-122.48,37.76,0-2000,NEAR BAY
-119.8,36.72,0-2000,INLAND
-123.22,39.16,2000-4000,<1H OCEAN
-119.17,34.17,0-2000,NEAR OCEAN
-120.32,38.71,0-2000,INLAND
-119.64,36.56,0-2000,INLAND
-117.84,35.54,0-2000,INLAND
-122.1,38.24,2000-4000,NEAR BAY
-122.27,37.32,0-2000,NEAR OCEAN
-118.1,33.89,0-2000,<1H OCEAN
-117.02,32.75,0-2000,<1H OCEAN
-117.32,34.12,2000-4000,INLAND
-121.42,38.62,0-2000,INLAND
-118.15,34.11,0-2000,<1H OCEAN
-118.14,33.91,0-2000,<1H OCEAN
-122.37,37.58,0-2000,NEAR OCEAN
-117.13,32.9,0-2000,<1H OCEAN
-120.25,37.11,0-2000,INLAND
-117.27,32.85,0-2000,NEAR OCEAN
-118.32,34.19,0-2000,<1H OCEAN
-118.3,33.78,0-2000,<1H OCEAN
-121.2,38.73,0-2000,INLAND
-121.9,36.61,0-2000,NEAR OCEAN
-117.14,32.92,0-2000,<1H OCEAN
-118.36,34.16,0-2000,<1H OCEAN
-117.89,33.92,0-2000,<1H OCEAN
-121.48,38.56,0-2000,INLAND
-119.05,35.36,2000-4000,INLAND
-120.85,37.49,0-2000,INLAND
-118.34,34.08,0-2000,<1H OCEAN
-118.1,34.13,0-2000,<1H OCEAN
-117.22,33.19,0-2000,<1H OCEAN
-118.46,34.26,0-2000,<1H OCEAN
-118.36,33.8,0-2000,NEAR OCEAN
-117.08,32.78,0-2000,NEAR OCEAN
-116.44,34.12,2000-4000,INLAND
-117.68,33.51,0-2000,<1H OCEAN
-118.45,34.04,0-2000,<1H OCEAN
-119.34,35.6,0-2000,INLAND
-121.86,37.42,2000-4000,<1H OCEAN
-119.98,38.93,0-2000,INLAND
-121.83,39.74,0-2000,INLAND
-118.31,33.96,0-2000,<1H OCEAN
-119.84,36.79,0-2000,INLAND
-117.93,33.66,0-2000,<1H OCEAN
-119.81,36.78,0-2000,INLAND
-121.31,38.97,0-2000,INLAND
-122.13,37.74,0-2000,NEAR BAY
-120.2,34.63,0-2000,NEAR OCEAN
-117.12,32.75,0-2000,NEAR OCEAN
-121.2,38.28,0-2000,INLAND
-118.46,34.18,2000-4000,<1H OCEAN
-117.77,33.84,0-2000,<1H OCEAN
-117.06,33.02,0-2000,<1H OCEAN
-118.1,34.05,2000-4000,<1H OCEAN
-117.95,33.8,0-2000,<1H OCEAN
-118.21,33.81,0-2000,NEAR OCEAN
-122.26,37.85,0-2000,NEAR BAY
-118.05,34.02,0-2000,<1H OCEAN
-118.52,34.18,0-2000,<1H OCEAN
-120.74,39.39,0-2000,INLAND
-118.13,33.91,0-2000,<1H OCEAN
-124.1,40.88,0-2000,NEAR OCEAN
-116.52,33.85,2000-4000,INLAND
-121.96,38.36,0-2000,INLAND
-122.27,37.84,0-2000,NEAR BAY
-121.49,39.49,0-2000,INLAND
-121.3,37.94,0-2000,INLAND
-117.62,33.42,0-2000,NEAR OCEAN
-119.63,36.6,0-2000,INLAND
-118.31,33.99,0-2000,<1H OCEAN
-116.99,32.74,0-2000,<1H OCEAN
-117.05,33.13,4000-6000,<1H OCEAN
-117.98,33.75,0-2000,<1H OCEAN
-118.35,33.8,0-2000,<1H OCEAN
-122.02,37.38,0-2000,<1H OCEAN
-117.09,32.79,0-2000,NEAR OCEAN
-117.98,33.95,0-2000,<1H OCEAN
-119.73,34.43,0-2000,NEAR OCEAN
-121.44,38.49,2000-4000,INLAND
-118.2,33.87,0-2000,<1H OCEAN
-118.14,33.76,0-2000,NEAR OCEAN
-122.34,41.06,0-2000,INLAND
-116.89,32.85,0-2000,<1H OCEAN
-117.97,33.68,0-2000,<1H OCEAN
-122.1,37.36,0-2000,NEAR BAY
-123.25,38.54,0-2000,NEAR OCEAN
-116.94,32.75,6000-8000,<1H OCEAN
-117.71,33.63,0-2000,<1H OCEAN
-117.97,33.82,2000-4000,<1H OCEAN
-122.18,37.77,0-2000,NEAR BAY
-118.06,33.86,2000-4000,<1H OCEAN
-120.46,37.33,0-2000,INLAND
-122.27,37.98,0-2000,NEAR BAY
-118.15,34.59,0-2000,INLAND
-122.14,37.41,0-2000,NEAR BAY
-122.19,37.77,0-2000,NEAR BAY
-118.27,34.1,0-2000,<1H OCEAN
-119.69,36.46,0-2000,INLAND
-118.5,34.26,0-2000,<1H OCEAN
-121.83,37.28,2000-4000,<1H OCEAN
-121.52,39.12,0-2000,INLAND
-122.41,37.63,0-2000,NEAR OCEAN
-120.88,38.58,0-2000,INLAND
-118.25,34.14,0-2000,<1H OCEAN
-122.28,37.75,0-2000,NEAR BAY
-116.52,32.9,0-2000,INLAND
-117.91,33.78,2000-4000,<1H OCEAN
-118.37,34.09,0-2000,<1H OCEAN
-118.23,34.1,2000-4000,<1H OCEAN
-122.41,37.79,0-2000,NEAR BAY
-122.08,37.3,0-2000,<1H OCEAN
-121.3,38.13,0-2000,INLAND
-119.63,36.58,0-2000,INLAND
-120.61,35.1,0-2000,<1H OCEAN
-117.13,33.89,0-2000,INLAND
-119.79,36.72,0-2000,INLAND
-118.21,34.18,0-2000,<1H OCEAN
-120.93,37.67,2000-4000,INLAND
-120,36.7,0-2000,INLAND
-122.44,37.8,0-2000,NEAR BAY
-118.35,33.97,0-2000,<1H OCEAN
-119.33,36.89,0-2000,INLAND
-117.95,33.92,0-2000,<1H OCEAN
-118.35,33.89,0-2000,<1H OCEAN
-122.42,37.75,0-2000,NEAR BAY
-121.96,37.71,2000-4000,<1H OCEAN
-121.06,37.67,0-2000,INLAND
-118.05,34.11,0-2000,INLAND
-117.81,33.64,0-2000,<1H OCEAN
-122.37,37.58,0-2000,NEAR OCEAN
-122.1,39.47,0-2000,INLAND
-117.69,33.51,0-2000,<1H OCEAN
-118.25,34.07,2000-4000,<1H OCEAN
-117.1,34.57,0-2000,INLAND
-120.64,35.15,2000-4000,<1H OCEAN
-122.12,37.44,0-2000,NEAR BAY
-118.39,34.03,0-2000,<1H OCEAN
-123.41,40.07,0-2000,INLAND
-117.39,34.07,0-2000,INLAND
-116.48,33.79,0-2000,INLAND
-121.63,36.71,2000-4000,<1H OCEAN
-118.33,34.1,4000-6000,<1H OCEAN
-118.49,34.18,0-2000,<1H OCEAN
-122.49,38.22,0-2000,NEAR BAY
-118.14,34.13,0-2000,<1H OCEAN
-118.14,33.97,2000-4000,<1H OCEAN
-117.13,32.75,0-2000,NEAR OCEAN
-118.44,34.28,0-2000,<1H OCEAN
-118.16,33.97,2000-4000,<1H OCEAN
-117.47,34.06,0-2000,INLAND
-118.43,34.24,0-2000,<1H OCEAN
-120.93,39.9,0-2000,INLAND
-120.97,37.61,0-2000,INLAND
-123.01,38.79,0-2000,<1H OCEAN
-120.6,34.91,0-2000,NEAR OCEAN
-122.69,38.44,0-2000,<1H OCEAN
-117.33,33.97,0-2000,INLAND
-120.38,36.15,0-2000,INLAND
-117.05,32.76,0-2000,NEAR OCEAN
-118.03,34.1,0-2000,INLAND
-124.14,41.06,0-2000,NEAR OCEAN
-118.22,34.14,0-2000,<1H OCEAN
-118.31,33.72,0-2000,NEAR OCEAN
-120.71,38.85,0-2000,INLAND
-120.98,39.08,2000-4000,INLAND
-117.78,34.07,2000-4000,INLAND
-118.27,34.06,2000-4000,<1H OCEAN
-118.32,34.01,0-2000,<1H OCEAN
-122.39,38,0-2000,NEAR BAY
-117.9,33.66,0-2000,<1H OCEAN
-117.24,32.83,0-2000,NEAR OCEAN
-121.94,38.27,8000-10000,INLAND
-117.15,33.7,2000-4000,INLAND
-118.53,34.18,2000-4000,<1H OCEAN
-117.99,33.7,0-2000,<1H OCEAN
-122.43,37.77,0-2000,NEAR BAY
-122.21,37.47,0-2000,NEAR OCEAN
-119.43,36.55,0-2000,INLAND
-118.09,34.17,0-2000,INLAND
-121.4,38.49,2000-4000,INLAND
-117.04,32.64,0-2000,NEAR OCEAN
-119.69,36.25,0-2000,INLAND
-119.8,36.74,0-2000,INLAND
-118.36,34.13,2000-4000,<1H OCEAN
-118.23,34.14,0-2000,<1H OCEAN
-117.95,33.81,0-2000,<1H OCEAN
-119.19,34.28,0-2000,NEAR OCEAN
-121.83,37.34,6000-8000,<1H OCEAN
